HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 00:41
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.185549,INVALID,Start,All,Restart,Started at:00:41:34,
2.5,5.185549,INVALID,,,,,
5.0,5.185549,INVALID,,,,,
7.5,5.185549,INVALID,,,,,
10.0,5.197771,INVALID,,,,,
12.5,5.197771,INVALID,,,,,
15.0,5.161105,INVALID,,,,,
17.5,5.136661,INVALID,,,,,
20.0,5.136661,INVALID,,,,,
22.5,5.112217,INVALID,,,,,
25.0,5.112217,INVALID,,,,,
27.5,5.124439,INVALID,,,,,
30.0,5.124439,INVALID,,,,,
32.5,5.112217,INVALID,,,,,
35.0,5.112217,INVALID,,,,,
37.5,5.112217,INVALID,,,,,
40.0,5.099995,INVALID,,,,,
42.5,5.099995,INVALID,,,,,
45.0,5.112217,INVALID,,,,,
47.5,5.099995,INVALID,,,,,
50.0,5.087773,INVALID,,,,,
52.5,5.099995,INVALID,,,,,
55.0,5.112217,INVALID,,,,,
57.5,5.099995,INVALID,,,,,
60.0,5.112217,INVALID,,,,,
62.5,5.112217,-0.101988,,,,,
65.0,5.112217,-0.093639,,,,,
67.5,5.124439,-0.083937,,,,,
70.0,5.136661,-0.070173,,,,,
72.5,5.124439,-0.052573,,,,,
75.0,5.124439,-0.033846,,,,,
77.5,5.136661,-0.013764,,,,,
80.0,5.136661,0.001579,,,,,
82.5,5.124439,0.011508,,,,,
85.0,5.136661,0.018728,,,,,
87.5,5.136661,0.023015,,,,,
90.0,5.124439,0.026851,,,,,
92.5,5.124439,0.030461,,,,,
95.0,5.136661,0.034071,,,,,
97.5,5.124439,0.037456,,,,,
100.0,5.124439,0.037681,,,,,
102.5,5.124439,0.037681,,,,,
105.0,5.124439,0.034523,,,,,
107.5,5.112217,0.030912,,,,,
110.0,5.112217,0.027076,,,,,
112.5,5.124439,0.020307,,,,,
115.0,5.112217,0.013087,,,,,
117.5,5.112217,0.005415,,,,,
120.0,5.112217,0.000451,,,,,
122.5,5.112217,-0.007446,,,,,
125.0,5.087773,-0.012636,,,,,
127.5,5.099995,-0.023241,,,,,
130.0,5.112217,-0.030687,,,,,
132.5,5.112217,-0.032266,,,,,
135.0,5.112217,-0.030687,,,,,
137.5,5.112217,-0.031589,,,,,
140.0,5.112217,-0.032266,,,,,
142.5,5.112217,-0.029784,,,,,
145.0,5.112217,-0.026851,,,,,
147.5,5.112217,-0.026400,,,,,
150.0,5.112217,-0.022789,,,,,
152.5,5.112217,-0.018728,,,,,
155.0,5.112217,-0.017148,,,,,
157.5,5.112217,-0.015343,,,,,
160.0,5.112217,-0.010379,,,,,
162.5,5.099995,-0.007897,,,,,
165.0,5.112217,-0.007897,,,,,
167.5,5.099995,-0.004738,,,,,
170.0,5.099995,-0.004061,,,,,
172.5,5.099995,-0.005867,,,,,
175.0,5.099995,-0.007446,,,,,
177.5,5.099995,-0.005867,,,,,
180.0,5.087773,-0.006769,,,,,
182.5,5.075551,-0.010154,,,,,
185.0,5.087773,-0.015795,,,,,
187.5,5.087773,-0.018051,,,,,
190.0,5.099995,-0.025723,,,,,
192.5,5.087773,-0.027753,,,,,
195.0,5.075551,-0.029558,,,,,
197.5,5.087773,-0.033620,,,,,
200.0,5.099995,-0.034297,,,,,
202.5,5.087773,-0.031815,,,,,
205.0,5.087773,-0.031815,,,,,
207.5,5.087773,-0.031364,,,,,
