HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 00:57
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.503322,INVALID,Start,All,Restart,Started at:00:57:37,
2.5,5.503322,INVALID,,,,,
5.0,5.503322,INVALID,,,,,
7.5,5.515544,INVALID,,,,,
10.0,5.503322,INVALID,,,,,
12.5,5.503322,INVALID,,,,,
15.0,5.515544,INVALID,,,,,
17.5,5.515544,INVALID,,,,,
20.0,5.515544,INVALID,,,,,
22.5,5.503322,INVALID,,,,,
25.0,5.515544,INVALID,,,,,
27.5,5.515544,INVALID,,,,,
30.0,5.503322,INVALID,,,,,
32.5,5.515544,INVALID,,,,,
35.0,5.515544,INVALID,,,,,
37.5,5.503322,INVALID,,,,,
40.0,5.503322,INVALID,,,,,
42.5,5.503322,INVALID,,,,,
45.0,5.478878,INVALID,,,,,
47.5,5.478878,INVALID,,,,,
50.0,5.491100,INVALID,,,,,
52.5,5.478878,INVALID,,,,,
55.0,5.478878,INVALID,,,,,
57.5,5.491100,INVALID,,,,,
60.0,5.478878,INVALID,,,,,
62.5,5.478878,-0.029558,,,,,
65.0,5.478878,-0.034071,,,,,
67.5,5.478878,-0.038133,,,,,
70.0,5.466656,-0.041743,,,,,
72.5,5.466656,-0.044676,,,,,
75.0,5.478878,-0.049640,,,,,
77.5,5.466656,-0.051220,,,,,
80.0,5.466656,-0.052122,,,,,
82.5,5.478878,-0.052122,,,,,
85.0,5.478878,-0.048512,,,,,
87.5,5.466656,-0.047158,,,,,
90.0,5.478878,-0.045127,,,,,
92.5,5.478878,-0.039487,,,,,
95.0,5.478878,-0.036102,,,,,
97.5,5.478878,-0.029333,,,,,
100.0,5.491100,-0.021887,,,,,
102.5,5.478878,-0.013990,,,,,
105.0,5.478878,-0.008574,,,,,
107.5,5.466656,-0.002708,,,,,
110.0,5.478878,-0.004964,,,,,
112.5,5.478878,-0.004287,,,,,
115.0,5.466656,-0.000677,,,,,
117.5,5.466656,-0.002482,,,,,
120.0,5.478878,-0.004061,,,,,
122.5,5.466656,0.000226,,,,,
125.0,5.454434,-0.000903,,,,,
127.5,5.466656,-0.004513,,,,,
130.0,5.466656,-0.004964,,,,,
132.5,5.454434,-0.005190,,,,,
135.0,5.454434,-0.010831,,,,,
137.5,5.454434,-0.016246,,,,,
140.0,5.454434,-0.018502,,,,,
142.5,5.429990,-0.023241,,,,,
145.0,5.454434,-0.033169,,,,,
147.5,5.454434,-0.034071,,,,,
150.0,5.442212,-0.034523,,,,,
152.5,5.454434,-0.040163,,,,,
155.0,5.466656,-0.039712,,,,,
157.5,5.454434,-0.036102,,,,,
160.0,5.454434,-0.034974,,,,,
162.5,5.466656,-0.033394,,,,,
165.0,5.454434,-0.025723,,,,,
167.5,5.454434,-0.023241,,,,,
170.0,5.454434,-0.020307,,,,,
172.5,5.454434,-0.019856,,,,,
175.0,5.442212,-0.016246,,,,,
177.5,5.442212,-0.014892,,,,,
180.0,5.442212,-0.015795,,,,,
182.5,5.442212,-0.016246,,,,,
185.0,5.429990,-0.013313,,,,,
187.5,5.429990,-0.015343,,,,,
190.0,5.429990,-0.019630,,,,,
192.5,5.429990,-0.020533,,,,,
195.0,5.417768,-0.020759,,,,,
197.5,5.417768,-0.025948,,,,,
200.0,5.429990,-0.030461,,,,,
202.5,5.417768,-0.031589,,,,,
205.0,5.405546,-0.034974,,,,,
207.5,5.417768,-0.046256,,,,,
210.0,5.417768,-0.048512,,,,,
212.5,5.405546,-0.050091,,,,,
215.0,5.405546,-0.056635,,,,,
217.5,5.417768,-0.059568,,,,,
220.0,5.417768,-0.055958,,,,,
222.5,5.405546,-0.054379,,,,,
225.0,5.417768,-0.054830,,,,,
227.5,5.417768,-0.048738,,,,,
230.0,5.417768,-0.044676,,,,,
232.5,5.417768,-0.039938,,,,,
235.0,5.417768,-0.034523,,,,,
237.5,5.417768,-0.028430,,,,,
240.0,5.417768,-0.024594,,,,,
242.5,5.417768,-0.020307,,,,,
245.0,5.405546,-0.015569,,,,,
247.5,5.405546,-0.013087,,,,,
250.0,5.405546,-0.012861,,,,,
252.5,5.417768,-0.012184,,,,,
255.0,5.393324,-0.008349,,,,,
257.5,5.393324,-0.009702,,,,,
260.0,5.405546,-0.013313,,,,,
262.5,5.405546,-0.013764,,,,,
265.0,5.393324,-0.011056,,,,,
267.5,5.393324,-0.013538,,,,,
270.0,5.381102,-0.018502,,,,,
272.5,5.393324,-0.023015,,,,,
275.0,5.381102,-0.024143,,,,,
277.5,5.368880,-0.030461,,,,,
280.0,5.381102,-0.039035,,,,,
282.5,5.381102,-0.041292,,,,,
285.0,5.368880,-0.042871,,,,,
287.5,5.368880,-0.049415,,,,,
290.0,5.381102,-0.052348,,,,,
292.5,5.381102,-0.051671,,,,,
295.0,5.381102,-0.050317,,,,,
297.5,5.381102,-0.048286,,,,,
300.0,5.381102,-0.045579,,,,,
302.5,5.381102,-0.042194,,,,,
305.0,5.381102,-0.038133,,,,,
307.5,5.368880,-0.033394,,,,,
310.0,5.368880,-0.033620,,,,,
312.5,5.381102,-0.033169,,,,,
315.0,5.368880,-0.029333,,,,,
317.5,5.368880,-0.024820,,,,,
320.0,5.368880,-0.025271,,,,,
322.5,5.368880,-0.025271,,,,,
325.0,5.368880,-0.021887,,,,,
327.5,5.356658,-0.017825,,,,,
330.0,5.344436,-0.018728,,,,,
332.5,5.356658,-0.021661,,,,,
335.0,5.356658,-0.023918,,,,,
337.5,5.344436,-0.022789,,,,,
340.0,5.344436,-0.026625,,,,,
342.5,5.344436,-0.032717,,,,,
345.0,5.344436,-0.035425,,,,,
347.5,5.344436,-0.037456,,,,,
350.0,5.332213,-0.041743,,,,,
352.5,5.319991,-0.048286,,,,,
355.0,5.332213,-0.053927,,,,,
357.5,5.332213,-0.055732,,,,,
360.0,5.332213,-0.056635,,,,,
362.5,5.319991,-0.056635,,,,,
365.0,5.319991,-0.058440,,,,,
367.5,5.319991,-0.059117,,,,,
370.0,5.319991,-0.058666,,,,,
372.5,5.319991,-0.060020,,,,,
375.0,5.307769,-0.060471,,,,,
377.5,5.319991,-0.059794,,,,,
380.0,5.319991,-0.057989,,,,,
382.5,5.319991,-0.055281,,,,,
385.0,5.307769,-0.051671,,,,,
387.5,5.307769,-0.049866,,,,,
390.0,5.319991,-0.046933,,,,,
392.5,5.319991,-0.043097,,,,,
395.0,5.319991,-0.041517,,,,,
397.5,5.307769,-0.036553,,,,,
400.0,5.307769,-0.033620,,,,,
402.5,5.307769,-0.032717,,,,,
405.0,5.307769,-0.031138,,,,,
407.5,5.307769,-0.028882,,,,,
410.0,5.307769,-0.025948,,,,,
412.5,5.295547,-0.022338,,,,,
415.0,5.307769,-0.023692,,,,,
417.5,5.295547,-0.024594,,,,,
420.0,5.295547,-0.025046,,,,,
422.5,5.283325,-0.024820,,,,,
425.0,5.283325,-0.026625,,,,,
427.5,5.283325,-0.030461,,,,,
430.0,5.283325,-0.033620,,,,,
432.5,5.283325,-0.036102,,,,,
435.0,5.271103,-0.037907,,,,,
437.5,5.271103,-0.041743,,,,,
440.0,5.271103,-0.047609,,,,,
442.5,5.271103,-0.049866,,,,,
445.0,5.271103,-0.051220,,,,,
447.5,5.258881,-0.051671,,,,,
450.0,5.246659,-0.056861,,,,,
452.5,5.258881,-0.063855,,,,,
455.0,5.258881,-0.064081,,,,,
457.5,5.258881,-0.063178,,,,,
460.0,5.246659,-0.061148,,,,,
462.5,5.246659,-0.063630,,,,,
465.0,5.258881,-0.064984,,,,,
467.5,5.258881,-0.062502,,,,,
470.0,5.246659,-0.059117,,,,,
472.5,5.246659,-0.057538,,,,,
475.0,5.258881,-0.054830,,,,,
477.5,5.271103,-0.051220,,,,,
480.0,5.246659,-0.041292,,,,,
482.5,5.258881,-0.039035,,,,,
485.0,5.258881,-0.033169,,,,,
487.5,5.258881,-0.029558,,,,,
490.0,5.246659,-0.025497,,,,,
492.5,5.246659,-0.023692,,,,,
495.0,5.234437,-0.021210,,,,,
497.5,5.246659,-0.020759,,,,,
500.0,5.246659,-0.019630,,,,,
502.5,5.234437,-0.018051,,,,,
505.0,5.246659,-0.018728,,,,,
507.5,5.246659,-0.016020,,,,,
510.0,5.234437,-0.012861,,,,,
512.5,5.222215,-0.014892,,,,,
515.0,5.234437,-0.022112,,,,,
517.5,5.234437,-0.023241,,,,,
520.0,5.222215,-0.023918,,,,,
522.5,5.222215,-0.026851,,,,,
525.0,5.222215,-0.032040,,,,,
527.5,5.222215,-0.036779,,,,,
530.0,5.209993,-0.038133,,,,,
532.5,5.222215,-0.041517,,,,,
535.0,5.209993,-0.044225,,,,,
537.5,5.209993,-0.049189,,,,,
540.0,5.197771,-0.050543,,,,,
542.5,5.222215,-0.050768,,,,,
545.0,5.209993,-0.050091,,,,,
547.5,5.209993,-0.048738,,,,,
550.0,5.209993,-0.046481,,,,,
552.5,5.222215,-0.043322,,,,,
555.0,5.222215,-0.039487,,,,,
557.5,5.209993,-0.035199,,,,,
560.0,5.209993,-0.036102,,,,,
562.5,5.222215,-0.033620,,,,,
565.0,5.209993,-0.027753,,,,,
567.5,5.209993,-0.027076,,,,,
570.0,5.209993,-0.023015,,,,,
572.5,5.209993,-0.018277,,,,,
575.0,5.197771,-0.015795,,,,,
577.5,5.197771,-0.018502,,,,,
580.0,5.209993,-0.017825,,,,,
582.5,5.209993,-0.013764,,,,,
585.0,5.197771,-0.012184,,,,,
587.5,5.197771,-0.013087,,,,,
590.0,5.209993,-0.013538,,,,,
592.5,5.185549,-0.010831,,,,,
595.0,5.185549,-0.016246,,,,,
597.5,5.197771,-0.018277,,,,,
600.0,5.185549,-0.019856,,,,,
602.5,5.185549,-0.023918,,,,,
605.0,5.185549,-0.030461,,,,,
607.5,5.185549,-0.030912,,,,,
610.0,5.173327,-0.038584,,,,,
612.5,5.173327,-0.042871,,,,,
615.0,5.185549,-0.040840,Stop,All,Stop,Stopped at:01:07:54,

End Of File
Checksum, 1107287763
