HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 01:12
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.723318,INVALID,Start,All,Restart,Started at:01:12:57,
2.5,5.735540,INVALID,,,,,
5.0,5.747762,INVALID,,,,,
7.5,5.735540,INVALID,,,,,
10.0,5.723318,INVALID,,,,,
12.5,5.698874,INVALID,,,,,
15.0,5.698874,INVALID,,,,,
17.5,5.698874,INVALID,,,,,
20.0,5.711096,INVALID,,,,,
22.5,5.711096,INVALID,,,,,
25.0,5.711096,INVALID,,,,,
27.5,5.698874,INVALID,,,,,
30.0,5.698874,INVALID,,,,,
32.5,5.711096,INVALID,,,,,
35.0,5.698874,INVALID,,,,,
37.5,5.698874,INVALID,,,,,
40.0,5.698874,INVALID,,,,,
42.5,5.686652,INVALID,,,,,
45.0,5.686652,INVALID,,,,,
47.5,5.674430,INVALID,,,,,
50.0,5.674430,INVALID,,,,,
52.5,5.674430,INVALID,,,,,
55.0,5.674430,INVALID,,,,,
57.5,5.674430,INVALID,,,,,
60.0,5.674430,INVALID,,,,,
62.5,5.662208,-0.061599,,,,,
65.0,5.674430,-0.064758,,,,,
67.5,5.674430,-0.061148,,,,,
70.0,5.674430,-0.053476,,,,,
72.5,5.674430,-0.047384,,,,,
75.0,5.674430,-0.043097,,,,,
77.5,5.674430,-0.043774,,,,,
80.0,5.674430,-0.043999,,,,,
82.5,5.674430,-0.043774,,,,,
85.0,5.674430,-0.040163,,,,,
87.5,5.662208,-0.035876,,,,,
90.0,5.662208,-0.033620,,,,,
92.5,5.674430,-0.033394,,,,,
95.0,5.674430,-0.029784,,,,,
97.5,5.662208,-0.022789,,,,,
100.0,5.649986,-0.020759,,,,,
102.5,5.649986,-0.020759,,,,,
105.0,5.662208,-0.019856,,,,,
107.5,5.649986,-0.018277,,,,,
110.0,5.637764,-0.018954,,,,,
112.5,5.637764,-0.024594,,,,,
115.0,5.649986,-0.029558,,,,,
117.5,5.637764,-0.031138,,,,,
120.0,5.613320,-0.034974,,,,,
122.5,5.625542,-0.043548,,,,,
125.0,5.625542,-0.048286,,,,,
127.5,5.613320,-0.055055,,,,,
130.0,5.601098,-0.060922,,,,,
132.5,5.613320,-0.068368,,,,,
135.0,5.613320,-0.071753,,,,,
137.5,5.613320,-0.074009,,,,,
140.0,5.601098,-0.075137,,,,,
142.5,5.601098,-0.077845,,,,,
145.0,5.613320,-0.079199,,,,,
147.5,5.601098,-0.076491,,,,,
150.0,5.601098,-0.075363,,,,,
152.5,5.601098,-0.075814,,,,,
155.0,5.613320,-0.075137,,,,,
157.5,5.601098,-0.067691,,,,,
160.0,5.601098,-0.061825,,,,,
162.5,5.601098,-0.057538,,,,,
165.0,5.588876,-0.055055,,,,,
167.5,5.588876,-0.054379,,,,,
170.0,5.601098,-0.049640,,,,,
172.5,5.588876,-0.043774,,,,,
175.0,5.576654,-0.042645,,,,,
177.5,5.576654,-0.043322,,,,,
180.0,5.576654,-0.039938,,,,,
182.5,5.564432,-0.038133,,,,,
185.0,5.552210,-0.043774,,,,,
187.5,5.564432,-0.048286,,,,,
190.0,5.564432,-0.048738,,,,,
192.5,5.552210,-0.050994,,,,,
195.0,5.539988,-0.057989,,,,,
197.5,5.552210,-0.063855,,,,,
200.0,5.539988,-0.065660,,,,,
202.5,5.527766,-0.069045,,,,,
205.0,5.527766,-0.076717,,,,,
207.5,5.539988,-0.083035,,,,,
210.0,5.515544,-0.082358,,,,,
212.5,5.515544,-0.088675,,,,,
215.0,5.527766,-0.093414,,,,,
217.5,5.515544,-0.093865,,,,,
220.0,5.527766,-0.092737,,,,,
222.5,5.527766,-0.090029,,,,,
225.0,5.515544,-0.085968,,,,,
227.5,5.515544,-0.083260,,,,,
230.0,5.527766,-0.081906,,,,,
232.5,5.515544,-0.076491,,,,,
235.0,5.503322,-0.069722,,,,,
237.5,5.503322,-0.067014,,,,,
240.0,5.503322,-0.065660,,,,,
242.5,5.503322,-0.062953,,,,,
245.0,5.503322,-0.058891,,,,,
247.5,5.503322,-0.056409,,,,,
250.0,5.491100,-0.055732,,,,,
