HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 01:28
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.857760,INVALID,Start,All,Restart,Started at:01:28:00,
2.5,5.857760,INVALID,,,,,
5.0,5.869982,INVALID,,,,,
7.5,5.882204,INVALID,,,,,
10.0,5.869982,INVALID,,,,,
12.5,5.882204,INVALID,,,,,
15.0,5.894426,INVALID,,,,,
17.5,5.894426,INVALID,,,,,
20.0,5.882204,INVALID,,,,,
22.5,5.894426,INVALID,,,,,
25.0,5.906648,INVALID,,,,,
27.5,5.894426,INVALID,,,,,
30.0,5.894426,INVALID,,,,,
32.5,5.882204,INVALID,,,,,
35.0,5.894426,INVALID,,,,,
37.5,5.894426,INVALID,,,,,
40.0,5.882204,INVALID,,,,,
42.5,5.894426,INVALID,,,,,
45.0,5.894426,INVALID,,,,,
47.5,5.894426,INVALID,,,,,
50.0,5.882204,INVALID,,,,,
52.5,5.882204,INVALID,,,,,
55.0,5.894426,INVALID,,,,,
57.5,5.894426,INVALID,,,,,
60.0,5.882204,INVALID,,,,,
62.5,5.882204,0.020082,,,,,
65.0,5.882204,0.012410,,,,,
67.5,5.894426,0.004287,,,,,
70.0,5.882204,0.001354,,,,,
72.5,5.869982,-0.001805,,,,,
75.0,5.882204,-0.010605,,,,,
77.5,5.882204,-0.013764,,,,,
80.0,5.869982,-0.013990,,,,,
82.5,5.869982,-0.016697,,,,,
85.0,5.882204,-0.021887,,,,,
87.5,5.894426,-0.021210,,,,,
90.0,5.894426,-0.014666,,,,,
92.5,5.894426,-0.010831,,,,,
95.0,5.894426,-0.006995,,,,,
97.5,5.894426,-0.006092,,,,,
100.0,5.894426,-0.002482,,,,,
102.5,5.894426,0.001128,,,,,
105.0,5.882204,0.001805,,,,,
107.5,5.882204,0.002482,,,,,
110.0,5.894426,0.003385,,,,,
112.5,5.894426,0.007220,,,,,
115.0,5.882204,0.008123,,,,,
117.5,5.882204,0.006092,,,,,
120.0,5.882204,0.006995,,,,,
122.5,5.894426,0.008123,,,,,
125.0,5.882204,0.009251,,,,,
127.5,5.869982,0.007446,,,,,
130.0,5.869982,0.002933,,,,,
132.5,5.869982,0.001579,,,,,
135.0,5.882204,-0.002256,,,,,
137.5,5.869982,-0.006092,,,,,
140.0,5.869982,-0.009928,,,,,
142.5,5.869982,-0.013538,,,,,
145.0,5.882204,-0.019856,,,,,
147.5,5.869982,-0.023466,,,,,
150.0,5.869982,-0.027076,,,,,
152.5,5.857760,-0.027528,,,,,
155.0,5.869982,-0.030235,,,,,
157.5,5.869982,-0.029558,,,,,
160.0,5.869982,-0.028430,,,,,
162.5,5.882204,-0.026851,,,,,
165.0,5.882204,-0.022112,,,,,
167.5,5.869982,-0.017148,,,,,
170.0,5.869982,-0.017600,,,,,
172.5,5.882204,-0.017825,,,,,
175.0,5.882204,-0.012184,,,,,
177.5,5.882204,-0.006318,,,,,
180.0,5.882204,-0.003159,,,,,
182.5,5.882204,0.000000,,,,,
185.0,5.882204,0.003159,,,,,
187.5,5.869982,0.009251,,,,,
190.0,5.882204,0.009928,,,,,
192.5,5.869982,0.010605,,,,,
195.0,5.869982,0.008349,,,,,
197.5,5.882204,0.006092,,,,,
200.0,5.882204,0.009477,,,,,
202.5,5.869982,0.009928,,,,,
205.0,5.857760,0.007446,,,,,
207.5,5.869982,0.002256,,,,,
210.0,5.857760,0.002933,,,,,
212.5,5.857760,-0.001805,,,,,
215.0,5.857760,-0.006318,,,,,
217.5,5.857760,-0.013538,,,,,
220.0,5.857760,-0.017825,,,,,
222.5,5.845538,-0.021887,,,,,
225.0,5.857760,-0.028430,,,,,
227.5,5.857760,-0.028882,,,,,
230.0,5.857760,-0.028882,,,,,
232.5,5.845538,-0.031364,,,,,
235.0,5.857760,-0.036328,,,,,
237.5,5.869982,-0.035199,,,,,
240.0,5.857760,-0.030912,,,,,
242.5,5.857760,-0.029107,,,,,
245.0,5.857760,-0.026851,,,,,
247.5,5.869982,-0.024143,,,,,
250.0,5.869982,-0.018277,,,,,
252.5,5.857760,-0.015118,,,,,
255.0,5.857760,-0.011733,,,,,
257.5,5.857760,-0.010831,,,,,
260.0,5.857760,-0.009702,,,,,
262.5,5.845538,-0.005415,,,,,
265.0,5.845538,-0.003385,,,,,
267.5,5.857760,-0.003610,,,,,
270.0,5.845538,-0.003610,,,,,
272.5,5.845538,-0.003385,,,,,
275.0,5.845538,-0.005641,,,,,
277.5,5.845538,-0.007672,,,,,
280.0,5.833316,-0.009477,,,,,
282.5,5.833316,-0.013764,,,,,
285.0,5.833316,-0.017600,,,,,
287.5,5.833316,-0.023918,,,,,
290.0,5.821094,-0.027076,,,,,
292.5,5.821094,-0.032492,,,,,
295.0,5.821094,-0.037230,,,,,
297.5,5.833316,-0.044225,,,,,
300.0,5.821094,-0.045127,,,,,
302.5,5.821094,-0.045353,,,,,
305.0,5.833316,-0.047609,,,,,
307.5,5.833316,-0.046481,,,,,
310.0,5.833316,-0.044902,,,,,
312.5,5.821094,-0.039938,,,,,
315.0,5.833316,-0.037005,,,,,
317.5,5.833316,-0.033394,,,,,
320.0,5.833316,-0.029333,,,,,
322.5,5.821094,-0.024820,,,,,
325.0,5.833316,-0.022564,,,,,
327.5,5.833316,-0.019856,,,,,
330.0,5.821094,-0.016923,,,,,
332.5,5.821094,-0.013538,,,,,
335.0,5.833316,-0.012410,,,,,
337.5,5.821094,-0.008123,,,,,
340.0,5.821094,-0.006318,,,,,
342.5,5.821094,-0.004061,,,,,
345.0,5.821094,-0.004287,,,,,
347.5,5.821094,-0.004287,,,,,
350.0,5.796650,-0.004061,,,,,
352.5,5.821094,-0.009025,,,,,
355.0,5.808872,-0.010831,,,,,
357.5,5.808872,-0.015343,,,,,
360.0,5.808872,-0.019630,,,,,
362.5,5.808872,-0.020759,,,,,
365.0,5.808872,-0.024369,,,,,
367.5,5.808872,-0.027753,,,,,
370.0,5.796650,-0.027979,,,,,
372.5,5.808872,-0.030461,,,,,
375.0,5.808872,-0.029558,,,,,
377.5,5.808872,-0.031138,,,,,
380.0,5.808872,-0.029558,,,,,
382.5,5.808872,-0.027528,,,,,
385.0,5.808872,-0.025046,,,,,
387.5,5.808872,-0.025046,,,,,
390.0,5.796650,-0.021887,,,,,
392.5,5.796650,-0.020984,,,,,
395.0,5.808872,-0.022338,,,,,
397.5,5.808872,-0.020533,,,,,
400.0,5.796650,-0.015569,,,,,
402.5,5.796650,-0.015795,,,,,
405.0,5.796650,-0.015569,,,,,
407.5,5.784428,-0.014892,,,,,
410.0,5.784428,-0.016472,,,,,
412.5,5.784428,-0.017374,,,,,
415.0,5.796650,-0.023466,,,,,
417.5,5.784428,-0.020759,,,,,
420.0,5.772206,-0.023241,,,,,
422.5,5.772206,-0.027979,,,,,
425.0,5.772206,-0.032040,,,,,
427.5,5.772206,-0.035425,,,,,
430.0,5.759984,-0.038133,,,,,
432.5,5.772206,-0.042871,,,,,
435.0,5.772206,-0.046933,,,,,
437.5,5.759984,-0.047609,,,,,
440.0,5.747762,-0.050317,,,,,
442.5,5.759984,-0.054830,,,,,
445.0,5.759984,-0.055507,,,,,
447.5,5.759984,-0.055281,,,,,
450.0,5.747762,-0.054153,,,,,
452.5,5.735540,-0.054830,,,,,
455.0,5.747762,-0.060020,,,,,
457.5,5.759984,-0.061373,,,,,
460.0,5.735540,-0.056184,,,,,
462.5,5.735540,-0.055507,,,,,
465.0,5.735540,-0.056409,,,,,
467.5,5.735540,-0.056184,,,,,
470.0,5.723318,-0.054830,,,,,
472.5,5.735540,-0.057989,,,,,
475.0,5.735540,-0.057312,,,,,
477.5,5.747762,-0.055732,,,,,
480.0,5.735540,-0.047609,,,,,
482.5,5.735540,-0.044225,,,,,
485.0,5.759984,-0.042871,,,,,
487.5,5.747762,-0.035425,,,,,
490.0,5.735540,-0.030461,,,,,
492.5,5.747762,-0.027753,,,,,
495.0,5.747762,-0.024594,,,,,
497.5,5.735540,-0.018277,,,,,
500.0,5.735540,-0.014215,,,,,
502.5,5.735540,-0.012410,,,,,
505.0,5.747762,-0.013087,,,,,
507.5,5.735540,-0.007897,,,,,
510.0,5.735540,-0.005190,,,,,
512.5,5.735540,-0.002031,,,,,
515.0,5.735540,-0.001354,,,,,
517.5,5.735540,-0.003385,,,,,
520.0,5.723318,-0.002482,,,,,
522.5,5.723318,-0.001128,,,,,
525.0,5.723318,-0.004964,,,,,
527.5,5.711096,-0.008574,,,,,
530.0,5.711096,-0.014666,,,,,
532.5,5.723318,-0.020307,,,,,
535.0,5.711096,-0.025723,,,,,
537.5,5.698874,-0.030912,,,,,
540.0,5.698874,-0.038358,,,,,
542.5,5.711096,-0.042194,,,,,
545.0,5.711096,-0.045353,,,,,
547.5,5.698874,-0.048061,,,,,
550.0,5.698874,-0.047158,,,,,
552.5,5.698874,-0.048061,,,,,
555.0,5.711096,-0.050994,,,,,
557.5,5.711096,-0.047609,,,,,
560.0,5.698874,-0.043548,,,,,
562.5,5.698874,-0.044451,,,,,
565.0,5.711096,-0.044676,,,,,
567.5,5.711096,-0.041517,,,,,
570.0,5.698874,-0.034974,,,,,
572.5,5.698874,-0.033394,,,,,
575.0,5.711096,-0.031138,,,,,
577.5,5.711096,-0.025497,,,,,
580.0,5.698874,-0.019405,,,,,
582.5,5.698874,-0.015569,,,,,
585.0,5.711096,-0.013990,,,,,
587.5,5.698874,-0.009251,,,,,
590.0,5.686652,-0.006995,,,,,
592.5,5.686652,-0.009928,,,,,
595.0,5.711096,-0.012410,,,,,
597.5,5.698874,-0.006092,,,,,
600.0,5.686652,-0.005190,,,,,
602.5,5.686652,-0.009702,,,,,
605.0,5.698874,-0.013990,,,,,
607.5,5.686652,-0.012410,,,,,
610.0,5.674430,-0.013313,,,,,
612.5,5.686652,-0.019405,,,,,
615.0,5.686652,-0.022338,,,,,
617.5,5.674430,-0.025046,,,,,
620.0,5.662208,-0.027302,,,,,
622.5,5.674430,-0.031589,,,,,
625.0,5.674430,-0.035199,,,,,
627.5,5.662208,-0.038358,,,,,
630.0,5.662208,-0.040840,,,,,
632.5,5.674430,-0.042420,,,,,
635.0,5.662208,-0.043322,,,,,
637.5,5.649986,-0.046481,,,,,
640.0,5.662208,-0.048738,,,,,
642.5,5.662208,-0.047158,,,,,
645.0,5.662208,-0.047384,,,,,
647.5,5.662208,-0.043548,Stop,All,Stop,Stopped at:01:38:48,

End Of File
Checksum, 1744821962
