HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 01:43
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.038885,INVALID,Start,All,Restart,Started at:01:43:47,
2.5,5.026663,INVALID,,,,,
5.0,5.026663,INVALID,,,,,
7.5,5.014441,INVALID,,,,,
10.0,5.002219,INVALID,,,,,
12.5,5.002219,INVALID,,,,,
15.0,5.014441,INVALID,,,,,
17.5,5.002219,INVALID,,,,,
20.0,5.002219,INVALID,,,,,
22.5,4.989997,INVALID,,,,,
25.0,5.002219,INVALID,,,,,
27.5,5.002219,INVALID,,,,,
30.0,5.002219,INVALID,,,,,
32.5,5.002219,INVALID,,,,,
35.0,4.989997,INVALID,,,,,
37.5,5.014441,INVALID,,,,,
40.0,5.014441,INVALID,,,,,
42.5,5.002219,INVALID,,,,,
45.0,4.989997,INVALID,,,,,
47.5,5.002219,INVALID,,,,,
50.0,5.002219,INVALID,,,,,
52.5,4.989997,INVALID,,,,,
55.0,4.989997,INVALID,,,,,
57.5,4.989997,INVALID,,,,,
60.0,5.002219,INVALID,,,,,
62.5,4.989997,-0.027302,,,,,
65.0,4.977775,-0.022338,,,,,
67.5,4.977775,-0.022112,,,,,
70.0,4.977775,-0.020984,,,,,
72.5,4.977775,-0.021887,,,,,
75.0,4.965553,-0.025046,,,,,
77.5,4.965553,-0.030461,,,,,
80.0,4.977775,-0.032266,,,,,
82.5,4.965553,-0.033394,,,,,
85.0,4.977775,-0.036779,,,,,
87.5,4.977775,-0.039712,,,,,
90.0,4.977775,-0.039487,,,,,
92.5,4.977775,-0.038810,,,,,
95.0,4.953331,-0.037681,,,,,
97.5,4.941109,-0.041517,,,,,
100.0,4.916665,-0.050091,,,,,
102.5,4.928887,-0.057312,,,,,
105.0,4.928887,-0.060020,,,,,
107.5,4.941109,-0.064081,,,,,
110.0,4.916665,-0.067014,,,,,
112.5,4.916665,-0.071527,,,,,
115.0,4.916665,-0.074460,,,,,
117.5,4.904443,-0.078747,,,,,
120.0,4.916665,-0.084388,,,,,
122.5,4.916665,-0.085742,,,,,
125.0,4.928887,-0.082809,,,,,
127.5,4.928887,-0.078522,,,,,
130.0,4.941109,-0.076040,,,,,
132.5,4.928887,-0.069948,,,,,
135.0,4.928887,-0.065886,,,,,
137.5,4.916665,-0.060922,,,,,
140.0,4.904443,-0.060696,,,,,
142.5,4.904443,-0.062276,,,,,
145.0,4.904443,-0.059794,,,,,
147.5,4.904443,-0.058891,,,,,
150.0,4.904443,-0.053927,,,,,
152.5,4.892221,-0.047609,,,,,
155.0,4.904443,-0.042645,,,,,
157.5,4.916665,-0.033394,,,,,
160.0,4.904443,-0.025948,,,,,
162.5,4.892221,-0.023466,,,,,
165.0,4.892221,-0.028882,,,,,
167.5,4.904443,-0.030912,,,,,
170.0,4.904443,-0.029558,,,,,
172.5,4.892221,-0.024820,,,,,
175.0,4.892221,-0.027979,,,,,
177.5,4.904443,-0.030687,,,,,
180.0,4.892221,-0.030235,,,,,
182.5,4.892221,-0.035199,,,,,
185.0,4.892221,-0.037005,,,,,
187.5,4.892221,-0.038358,,,,,
190.0,4.879999,-0.036328,,,,,
192.5,4.879999,-0.036328,,,,,
195.0,4.879999,-0.032492,,,,,
197.5,4.892221,-0.030461,,,,,
200.0,4.867777,-0.024820,,,,,
202.5,4.867777,-0.026851,,,,,
205.0,4.867777,-0.030912,,,,,
207.5,4.867777,-0.034297,,,,,
210.0,4.867777,-0.037005,,,,,
212.5,4.855555,-0.039035,,,,,
215.0,4.867777,-0.043097,,,,,
217.5,4.855555,-0.046481,,,,,
220.0,4.843333,-0.049189,,,,,
222.5,4.855555,-0.050768,,,,,
225.0,4.855555,-0.051220,,,,,
227.5,4.843333,-0.053702,,,,,
230.0,4.855555,-0.058214,,,,,
232.5,4.855555,-0.056184,,,,,
235.0,4.855555,-0.053250,,,,,
237.5,4.855555,-0.052348,,,,,
240.0,4.843333,-0.050768,,,,,
242.5,4.855555,-0.048286,,,,,
245.0,4.843333,-0.044902,,,,,
247.5,4.831111,-0.043548,,,,,
250.0,4.831111,-0.043999,,,,,
252.5,4.843333,-0.043322,,,,,
255.0,4.831111,-0.041743,,,,,
257.5,4.831111,-0.042194,,,,,
260.0,4.831111,-0.041743,,,,,
262.5,4.831111,-0.037456,,,,,
265.0,4.818889,-0.037907,,,,,
267.5,4.818889,-0.040389,,,,,
270.0,4.818889,-0.041969,,,,,
272.5,4.818889,-0.042645,,,,,
275.0,4.818889,-0.042420,,,,,
277.5,4.806667,-0.044225,,,,,
280.0,4.806667,-0.045127,,,,,
282.5,4.806667,-0.047835,,,,,
285.0,4.806667,-0.052573,,,,,
287.5,4.794445,-0.053702,,,,,
290.0,4.794445,-0.056635,,,,,
292.5,4.806667,-0.061373,,,,,
295.0,4.806667,-0.059568,,,,,
297.5,4.794445,-0.056861,,,,,
300.0,4.794445,-0.055958,,,,,
302.5,4.806667,-0.053927,,,,,
305.0,4.794445,-0.050994,,,,,
307.5,4.794445,-0.047158,,,,,
310.0,4.794445,-0.045127,,,,,
312.5,4.794445,-0.045127,,,,,
315.0,4.782223,-0.044451,,,,,
317.5,4.782223,-0.042871,,,,,
320.0,4.794445,-0.043097,,,,,
322.5,4.794445,-0.039712,,,,,
325.0,4.770001,-0.035651,,,,,
327.5,4.770001,-0.036328,,,,,
330.0,4.782223,-0.038810,,,,,
332.5,4.782223,-0.037681,,,,,
335.0,4.770001,-0.035876,,,,,
337.5,4.770001,-0.036102,,,,,
340.0,4.770001,-0.035425,,,,,
342.5,4.757779,-0.036779,,,,,
345.0,4.757779,-0.040163,,,,,
347.5,4.757779,-0.042645,,,,,
350.0,4.757779,-0.044225,,,,,
352.5,4.745557,-0.047835,,,,,
355.0,4.745557,-0.053476,,,,,
357.5,4.757779,-0.055281,,,,,
360.0,4.745557,-0.053250,,,,,
362.5,4.733335,-0.055958,,,,,
365.0,4.745557,-0.060471,,,,,
367.5,4.745557,-0.058214,,,,,
370.0,4.733335,-0.057763,,,,,
372.5,4.733335,-0.059117,,,,,
375.0,4.745557,-0.059343,,,,,
377.5,4.745557,-0.055732,,,,,
380.0,4.733335,-0.054153,,,,,
382.5,4.733335,-0.054604,,,,,
385.0,4.733335,-0.051220,,,,,
387.5,4.745557,-0.046707,,,,,
390.0,4.733335,-0.044225,,,,,
392.5,4.733335,-0.043999,,,,,
395.0,4.733335,-0.040163,,,,,
397.5,4.733335,-0.035425,,,,,
400.0,4.721113,-0.032717,,,,,
402.5,4.721113,-0.032040,,,,,
405.0,4.733335,-0.030461,,,,,
407.5,4.733335,-0.028205,,,,,
410.0,4.721113,-0.025497,,,,,
412.5,4.721113,-0.025046,,,,,
415.0,4.721113,-0.023918,,,,,
417.5,4.721113,-0.025046,,,,,
420.0,4.708891,-0.025723,,,,,
422.5,4.696669,-0.025723,,,,,
425.0,4.708891,-0.030461,,,,,
427.5,4.708891,-0.034523,,,,,
430.0,4.696669,-0.035199,,,,,
432.5,4.684447,-0.037907,,,,,
435.0,4.696669,-0.045353,,,,,
437.5,4.696669,-0.049189,,,,,
440.0,4.696669,-0.049415,,,,,
442.5,4.684447,-0.048738,,,,,
445.0,4.684447,-0.052799,,,,,
447.5,4.684447,-0.055958,,,,,
450.0,4.684447,-0.058214,,,,,
452.5,4.684447,-0.056635,,,,,
455.0,4.684447,-0.056861,,,,,
457.5,4.684447,-0.056184,,,,,
460.0,4.672224,-0.054604,,,,,
462.5,4.684447,-0.054830,,,,,
465.0,4.684447,-0.054153,,,,,
467.5,4.684447,-0.052799,,,,,
470.0,4.672224,-0.047835,,,,,
472.5,4.672224,-0.044676,,,,,
475.0,4.672224,-0.043322,,,,,
477.5,4.684447,-0.041066,,,,,
480.0,4.672224,-0.035199,,,,,
482.5,4.672224,-0.031364,,,,,
485.0,4.672224,-0.029558,,,,,
487.5,4.672224,-0.030010,,,,,
490.0,4.672224,-0.027076,,,,,
492.5,4.660002,-0.023466,,,,,
495.0,4.660002,-0.024820,,,,,
497.5,4.660002,-0.028430,,,,,
500.0,4.672224,-0.028656,,,,,
502.5,4.647780,-0.025497,,,,,
505.0,4.647780,-0.027302,,,,,
507.5,4.660002,-0.031138,,,,,
510.0,4.660002,-0.031589,,,,,
512.5,4.647780,-0.031589,,,,,
515.0,4.647780,-0.033846,,,,,
517.5,4.660002,-0.035425,,,,,
520.0,4.660002,-0.033620,,,,,
522.5,4.647780,-0.031364,,,,,
525.0,4.647780,-0.034297,,,,,
527.5,4.647780,-0.033846,,,,,
530.0,4.660002,-0.032717,,,,,
532.5,4.647780,-0.028205,,,,,
535.0,4.635558,-0.028882,,,,,
537.5,4.647780,-0.031815,,,,,
540.0,4.647780,-0.031364,,,,,
542.5,4.647780,-0.027528,,,,,
545.0,4.647780,-0.025948,,,,,
547.5,4.635558,-0.023918,,,,,
550.0,4.647780,-0.024143,,,,,
552.5,4.647780,-0.020984,,,,,
555.0,4.647780,-0.017374,,,,,
557.5,4.635558,-0.016246,,,,,
560.0,4.635558,-0.017600,,,,,
562.5,4.635558,-0.018502,,,,,
565.0,4.635558,-0.016020,,,,,
567.5,4.635558,-0.018728,,,,,
570.0,4.623336,-0.021210,,,,,
572.5,4.623336,-0.023241,,,,,
575.0,4.635558,-0.024594,,,,,
577.5,4.635558,-0.025497,,,,,
580.0,4.623336,-0.026174,,,,,
582.5,4.623336,-0.026400,,,,,
585.0,4.623336,-0.025948,,,,,
587.5,4.623336,-0.027753,,,,,
590.0,4.611114,-0.029107,,,,,
592.5,4.611114,-0.032717,,,,,
595.0,4.611114,-0.032717,,,,,
597.5,4.611114,-0.034748,,,,,
600.0,4.611114,-0.039035,,,,,
602.5,4.598892,-0.039938,,,,,
605.0,4.611114,-0.042871,,,,,
607.5,4.611114,-0.042194,,,,,
610.0,4.598892,-0.040840,,,,,
612.5,4.598892,-0.044451,,,,,
615.0,4.598892,-0.044451,,,,,
617.5,4.586670,-0.043548,,,,,
620.0,4.586670,-0.047158,,,,,
622.5,4.586670,-0.048963,Stop,All,Stop,Stopped at:01:54:10,

End Of File
Checksum, -320872752
