HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 01:59
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.026663,INVALID,Start,All,Restart,Started at:01:59:34,
2.5,5.014441,INVALID,,,,,
5.0,5.026663,INVALID,,,,,
7.5,5.026663,INVALID,,,,,
10.0,5.014441,INVALID,,,,,
12.5,5.002219,INVALID,,,,,
15.0,5.002219,INVALID,,,,,
17.5,5.002219,INVALID,,,,,
20.0,5.002219,INVALID,,,,,
22.5,4.989997,INVALID,,,,,
25.0,4.989997,INVALID,,,,,
27.5,5.002219,INVALID,,,,,
30.0,4.989997,INVALID,,,,,
32.5,4.977775,INVALID,,,,,
35.0,4.989997,INVALID,,,,,
37.5,4.989997,INVALID,,,,,
40.0,4.977775,INVALID,,,,,
42.5,4.965553,INVALID,,,,,
45.0,4.989997,INVALID,,,,,
47.5,4.977775,INVALID,,,,,
50.0,4.965553,INVALID,,,,,
52.5,4.953331,INVALID,,,,,
55.0,4.965553,INVALID,,,,,
57.5,4.953331,INVALID,,,,,
60.0,4.953331,INVALID,,,,,
62.5,4.941109,-0.069496,,,,,
65.0,4.965553,-0.071527,,,,,
67.5,4.953331,-0.069496,,,,,
70.0,4.953331,-0.066337,,,,,
72.5,4.953331,-0.061825,,,,,
75.0,4.965553,-0.058891,,,,,
77.5,4.953331,-0.055055,,,,,
80.0,4.953331,-0.053250,,,,,
82.5,4.953331,-0.050543,,,,,
85.0,4.965553,-0.046933,,,,,
87.5,4.953331,-0.042645,,,,,
90.0,4.941109,-0.040615,,,,,
92.5,4.941109,-0.037681,,,,,
95.0,4.965553,-0.036553,,,,,
97.5,4.953331,-0.032040,,,,,
100.0,4.941109,-0.027076,,,,,
102.5,4.941109,-0.024143,,,,,
105.0,4.941109,-0.023241,,,,,
107.5,4.941109,-0.024594,,,,,
110.0,4.928887,-0.019630,,,,,
112.5,4.928887,-0.019405,,,,,
115.0,4.928887,-0.021210,,,,,
117.5,4.928887,-0.025271,,,,,
120.0,4.916665,-0.025948,,,,,
122.5,4.916665,-0.031589,,,,,
125.0,4.928887,-0.036553,,,,,
127.5,4.916665,-0.041066,,,,,
130.0,4.904443,-0.042194,,,,,
132.5,4.904443,-0.048061,,,,,
135.0,4.928887,-0.053025,,,,,
137.5,4.916665,-0.051671,,,,,
140.0,4.916665,-0.049640,,,,,
142.5,4.916665,-0.049640,,,,,
145.0,4.916665,-0.048963,,,,,
147.5,4.916665,-0.047609,,,,,
150.0,4.916665,-0.042645,,,,,
152.5,4.916665,-0.039712,,,,,
155.0,4.916665,-0.039035,,,,,
157.5,4.904443,-0.037907,,,,,
160.0,4.904443,-0.033169,,,,,
162.5,4.904443,-0.030235,,,,,
165.0,4.904443,-0.029333,,,,,
167.5,4.904443,-0.027753,,,,,
170.0,4.892221,-0.025497,,,,,
172.5,4.904443,-0.025271,,,,,
175.0,4.892221,-0.024369,,,,,
177.5,4.892221,-0.025723,,,,,
180.0,4.892221,-0.026400,,,,,
182.5,4.892221,-0.026400,,,,,
185.0,4.892221,-0.028656,,,,,
187.5,4.879999,-0.030461,,,,,
190.0,4.879999,-0.031589,,,,,
192.5,4.892221,-0.034748,,,,,
195.0,4.879999,-0.037456,,,,,
197.5,4.867777,-0.042645,,,,,
200.0,4.879999,-0.044225,,,,,
202.5,4.879999,-0.044902,,,,,
205.0,4.867777,-0.044902,,,,,
207.5,4.867777,-0.046933,,,,,
210.0,4.879999,-0.048061,,,,,
212.5,4.867777,-0.045579,,,,,
215.0,4.855555,-0.045127,,,,,
217.5,4.867777,-0.046481,,,,,
220.0,4.867777,-0.043999,,,,,
222.5,4.855555,-0.043548,,,,,
225.0,4.867777,-0.045127,,,,,
227.5,4.867777,-0.043097,,,,,
230.0,4.855555,-0.040389,,,,,
232.5,4.843333,-0.039712,,,,,
235.0,4.855555,-0.043774,,,,,
237.5,4.855555,-0.041292,,,,,
240.0,4.843333,-0.040840,,,,,
242.5,4.843333,-0.042420,,,,,
