HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 02:15
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.051107,INVALID,Start,All,Restart,Started at:02:15:29,
2.5,5.051107,INVALID,,,,,
5.0,5.063329,INVALID,,,,,
7.5,5.051107,INVALID,,,,,
10.0,5.038885,INVALID,,,,,
12.5,5.038885,INVALID,,,,,
15.0,5.038885,INVALID,,,,,
17.5,5.038885,INVALID,,,,,
20.0,5.038885,INVALID,,,,,
22.5,5.026663,INVALID,,,,,
25.0,5.026663,INVALID,,,,,
27.5,5.038885,INVALID,,,,,
30.0,5.026663,INVALID,,,,,
32.5,5.014441,INVALID,,,,,
35.0,5.026663,INVALID,,,,,
37.5,5.026663,INVALID,,,,,
40.0,5.026663,INVALID,,,,,
42.5,5.026663,INVALID,,,,,
45.0,5.014441,INVALID,,,,,
47.5,5.014441,INVALID,,,,,
50.0,5.026663,INVALID,,,,,
52.5,5.026663,INVALID,,,,,
55.0,5.026663,INVALID,,,,,
57.5,5.014441,INVALID,,,,,
60.0,5.026663,INVALID,,,,,
62.5,5.026663,-0.033846,,,,,
65.0,5.026663,-0.030461,,,,,
67.5,5.014441,-0.026625,,,,,
70.0,5.014441,-0.022112,,,,,
72.5,5.014441,-0.019630,,,,,
75.0,5.026663,-0.019405,,,,,
77.5,5.038885,-0.016020,,,,,
80.0,5.026663,-0.009702,,,,,
82.5,5.026663,-0.006092,,,,,
85.0,5.038885,-0.002256,,,,,
87.5,5.051107,0.001579,,,,,
90.0,5.038885,0.007897,,,,,
92.5,5.038885,0.013990,,,,,
95.0,5.038885,0.017148,,,,,
97.5,5.051107,0.017148,,,,,
100.0,5.038885,0.022338,,,,,
102.5,5.038885,0.024369,,,,,
105.0,5.038885,0.026174,,,,,
107.5,5.051107,0.027753,,,,,
110.0,5.038885,0.028882,,,,,
112.5,5.038885,0.026625,,,,,
115.0,5.038885,0.026851,,,,,
117.5,5.038885,0.026851,,,,,
120.0,5.038885,0.026625,,,,,
122.5,5.038885,0.023241,,,,,
125.0,5.026663,0.022338,,,,,
127.5,5.014441,0.018502,,,,,
130.0,5.014441,0.011959,,,,,
132.5,5.026663,0.002708,,,,,
135.0,5.026663,-0.003836,,,,,
137.5,5.014441,-0.010605,,,,,
140.0,5.014441,-0.017374,,,,,
142.5,5.014441,-0.020984,,,,,
145.0,5.026663,-0.027076,,,,,
147.5,5.026663,-0.030235,,,,,
150.0,5.026663,-0.030461,,,,,
152.5,5.026663,-0.027528,,,,,
155.0,5.038885,-0.027076,,,,,
157.5,5.038885,-0.023692,,,,,
160.0,5.038885,-0.020307,,,,,
162.5,5.026663,-0.013990,,,,,
165.0,5.026663,-0.013087,,,,,
167.5,5.038885,-0.011959,,,,,
170.0,5.038885,-0.007897,,,,,
172.5,5.038885,-0.000903,,,,,
175.0,5.026663,0.003385,,,,,
177.5,5.026663,0.004964,,,,,
180.0,5.026663,0.006769,,,,,
182.5,5.026663,0.008800,,,,,
185.0,5.026663,0.011056,,,,,
187.5,5.014441,0.013538,,,,,
190.0,5.014441,0.010605,,,,,
192.5,5.026663,0.004964,,,,,
195.0,5.014441,0.002031,,,,,
197.5,5.014441,-0.000903,,,,,
200.0,5.014441,-0.003610,,,,,
202.5,5.014441,-0.009025,,,,,
205.0,5.026663,-0.014441,,,,,
207.5,5.014441,-0.017148,,,,,
210.0,5.002219,-0.019856,,,,,
212.5,5.002219,-0.025046,,,,,
215.0,5.014441,-0.029784,,,,,
217.5,5.014441,-0.031364,,,,,
220.0,5.014441,-0.029784,,,,,
222.5,5.026663,-0.027753,,,,,
225.0,5.014441,-0.022564,,,,,
227.5,5.026663,-0.022789,,,,,
230.0,5.038885,-0.020082,,,,,
232.5,5.026663,-0.011733,,,,,
235.0,5.026663,-0.006092,,,,,
237.5,5.026663,-0.000226,,,,,
240.0,5.038885,0.002933,,,,,
242.5,5.026663,0.008800,,,,,
245.0,5.014441,0.011733,,,,,
247.5,5.026663,0.011959,,,,,
250.0,5.026663,0.015118,,,,,
252.5,5.014441,0.015343,,,,,
255.0,5.002219,0.012636,,,,,
257.5,5.014441,0.010154,,,,,
260.0,5.026663,0.007897,,,,,
262.5,5.014441,0.008349,,,,,
265.0,5.014441,0.005867,,,,,
267.5,5.002219,0.003385,,,,,
270.0,5.014441,0.001128,,,,,
272.5,5.014441,-0.000903,,,,,
275.0,5.002219,-0.005867,,,,,
277.5,5.002219,-0.013764,,,,,
280.0,4.989997,-0.018728,,,,,
282.5,5.002219,-0.026174,,,,,
285.0,5.002219,-0.030461,,,,,
287.5,4.989997,-0.031589,,,,,
290.0,4.989997,-0.037907,,,,,
292.5,5.002219,-0.040840,,,,,
295.0,5.002219,-0.037456,,,,,
297.5,5.002219,-0.036328,,,,,
300.0,4.989997,-0.034748,,,,,
302.5,5.002219,-0.035425,,,,,
305.0,5.002219,-0.029784,,,,,
307.5,5.002219,-0.026400,,,,,
310.0,4.989997,-0.025497,,,,,
312.5,4.989997,-0.024143,,,,,
315.0,4.989997,-0.022112,,,,,
317.5,5.002219,-0.022338,,,,,
320.0,4.989997,-0.022338,,,,,
322.5,4.989997,-0.022112,,,,,
325.0,4.989997,-0.018502,,,,,
327.5,4.989997,-0.017148,,,,,
330.0,4.989997,-0.015343,,,,,
332.5,4.989997,-0.016020,,,,,
335.0,4.977775,-0.013538,,,,,
337.5,4.989997,-0.013313,,,,,
340.0,4.989997,-0.012636,,,,,
342.5,4.977775,-0.011733,,,,,
345.0,4.965553,-0.016246,,,,,
347.5,4.977775,-0.020307,,,,,
350.0,4.977775,-0.020984,,,,,
352.5,4.965553,-0.024143,,,,,
355.0,4.965553,-0.029784,,,,,
357.5,4.965553,-0.032040,,,,,
360.0,4.965553,-0.033620,,,,,
362.5,4.953331,-0.034523,,,,,
365.0,4.965553,-0.040389,,,,,
367.5,4.965553,-0.039938,,,,,
370.0,4.965553,-0.038810,,,,,
372.5,4.953331,-0.037005,,,,,
375.0,4.965553,-0.040163,,,,,
377.5,4.965553,-0.039938,,,,,
380.0,4.965553,-0.039261,,,,,
382.5,4.965553,-0.035199,,,,,
385.0,4.965553,-0.033394,,,,,
387.5,4.977775,-0.031138,,,,,
390.0,4.965553,-0.025723,,,,,
392.5,4.953331,-0.022789,,,,,
395.0,4.965553,-0.022112,,,,,
397.5,4.965553,-0.018051,,,,,
400.0,4.953331,-0.016472,,,,,
402.5,4.953331,-0.014441,,,,,
405.0,4.965553,-0.011733,,,,,
407.5,4.953331,-0.008574,,,,,
410.0,4.953331,-0.010831,,,,,
412.5,4.953331,-0.009928,,,,,
415.0,4.965553,-0.008574,,,,,
417.5,4.941109,-0.006995,,,,,
420.0,4.941109,-0.010831,,,,,
422.5,4.953331,-0.014215,,,,,
425.0,4.941109,-0.014441,,,,,
427.5,4.928887,-0.020082,,,,,
430.0,4.953331,-0.025271,,,,,
432.5,4.953331,-0.024369,,,,,
435.0,4.941109,-0.023241,,,,,
437.5,4.928887,-0.027528,,,,,
440.0,4.941109,-0.031364,,,,,
442.5,4.941109,-0.031815,,,,,
445.0,4.928887,-0.031815,,,,,
447.5,4.928887,-0.034071,,,,,
450.0,4.941109,-0.035651,,,,,
452.5,4.928887,-0.030912,,,,,
455.0,4.928887,-0.031138,,,,,
457.5,4.928887,-0.033620,,,,,
460.0,4.941109,-0.032717,,,,,
462.5,4.941109,-0.028430,,,,,
465.0,4.941109,-0.026625,,,,,
467.5,4.941109,-0.024594,,,,,
470.0,4.941109,-0.019405,,,,,
472.5,4.928887,-0.016697,,,,,
475.0,4.928887,-0.016472,,,,,
477.5,4.941109,-0.015795,,,,,
480.0,4.928887,-0.009025,,,,,
482.5,4.928887,-0.010379,,,,,
485.0,4.941109,-0.011508,,,,,
487.5,4.941109,-0.006769,,,,,
490.0,4.928887,-0.004738,,,,,
492.5,4.916665,-0.008349,,,,,
495.0,4.928887,-0.008800,,,,,
497.5,4.928887,-0.005867,,,,,
500.0,4.916665,-0.005415,,,,,
502.5,4.916665,-0.010379,,,,,
505.0,4.928887,-0.012184,,,,,
507.5,4.916665,-0.010831,,,,,
510.0,4.916665,-0.014892,,,,,
512.5,4.916665,-0.018728,,,,,
515.0,4.916665,-0.019405,,,,,
517.5,4.904443,-0.022564,,,,,
520.0,4.904443,-0.028205,,,,,
522.5,4.916665,-0.033394,,,,,
525.0,4.904443,-0.032492,,,,,
527.5,4.904443,-0.033846,,,,,
530.0,4.916665,-0.034523,,,,,
532.5,4.916665,-0.031815,,,,,
535.0,4.916665,-0.028656,,,,,
537.5,4.904443,-0.027979,,,,,
540.0,4.916665,-0.029784,,,,,
542.5,4.916665,-0.025497,,,,,
545.0,4.916665,-0.023692,,,,,
