HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 02:31
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.527766,INVALID,Start,All,Restart,Started at:02:31:32,
2.5,5.539988,INVALID,,,,,
5.0,5.539988,INVALID,,,,,
7.5,5.539988,INVALID,,,,,
10.0,5.552210,INVALID,,,,,
12.5,5.539988,INVALID,,,,,
15.0,5.539988,INVALID,,,,,
17.5,5.552210,INVALID,,,,,
20.0,5.552210,INVALID,,,,,
22.5,5.552210,INVALID,,,,,
25.0,5.539988,INVALID,,,,,
27.5,5.539988,INVALID,,,,,
30.0,5.539988,INVALID,,,,,
32.5,5.552210,INVALID,,,,,
35.0,5.552210,INVALID,,,,,
37.5,5.552210,INVALID,,,,,
40.0,5.539988,INVALID,,,,,
42.5,5.539988,INVALID,,,,,
45.0,5.552210,INVALID,,,,,
47.5,5.552210,INVALID,,,,,
50.0,5.552210,INVALID,,,,,
52.5,5.539988,INVALID,,,,,
55.0,5.539988,INVALID,,,,,
57.5,5.552210,INVALID,,,,,
60.0,5.552210,INVALID,,,,,
62.5,5.552210,0.009477,,,,,
65.0,5.539988,0.006769,,,,,
67.5,5.539988,0.003836,,,,,
70.0,5.552210,0.000903,,,,,
72.5,5.552210,0.000677,,,,,
