HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 02:49
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.613320,INVALID,Start,All,Restart,Started at:02:49:24,
2.5,5.613320,INVALID,,,,,
5.0,5.613320,INVALID,,,,,
7.5,5.613320,INVALID,,,,,
10.0,5.625542,INVALID,,,,,
12.5,5.625542,INVALID,,,,,
15.0,5.613320,INVALID,,,,,
17.5,5.625542,INVALID,,,,,
20.0,5.625542,INVALID,,,,,
22.5,5.613320,INVALID,,,,,
25.0,5.625542,INVALID,,,,,
27.5,5.625542,INVALID,,,,,
30.0,5.613320,INVALID,,,,,
32.5,5.613320,INVALID,,,,,
35.0,5.625542,INVALID,,,,,
37.5,5.613320,INVALID,,,,,
40.0,5.613320,INVALID,,,,,
42.5,5.625542,INVALID,,,,,
45.0,5.613320,INVALID,,,,,
47.5,5.613320,INVALID,,,,,
50.0,5.613320,INVALID,,,,,
52.5,5.625542,INVALID,,,,,
55.0,5.613320,INVALID,,,,,
57.5,5.613320,INVALID,,,,,
60.0,5.625542,INVALID,,,,,
62.5,5.625542,0.000226,,,,,
65.0,5.625542,0.000677,,,,,
67.5,5.625542,0.000903,,,,,
70.0,5.637764,0.000903,,,,,
72.5,5.625542,0.003385,,,,,
75.0,5.625542,0.005641,,,,,
77.5,5.637764,0.007897,,,,,
80.0,5.625542,0.009928,,,,,
82.5,5.625542,0.011733,,,,,
85.0,5.637764,0.013538,,,,,
87.5,5.637764,0.015118,,,,,
90.0,5.613320,0.019179,,,,,
92.5,5.613320,0.017600,,,,,
95.0,5.601098,0.013313,,,,,
97.5,5.588876,0.006318,,,,,
100.0,5.576654,-0.000226,,,,,
