HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 03:05
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.356658,INVALID,Start,All,Restart,Started at:03:05:36,
2.5,5.356658,INVALID,,,,,
5.0,5.368880,INVALID,,,,,
7.5,5.381102,INVALID,,,,,
10.0,5.368880,INVALID,,,,,
12.5,5.368880,INVALID,,,,,
15.0,5.368880,INVALID,,,,,
17.5,5.368880,INVALID,,,,,
20.0,5.356658,INVALID,,,,,
22.5,5.356658,INVALID,,,,,
25.0,5.356658,INVALID,,,,,
27.5,5.356658,INVALID,,,,,
30.0,5.356658,INVALID,,,,,
32.5,5.344436,INVALID,,,,,
35.0,5.332213,INVALID,,,,,
37.5,5.332213,INVALID,,,,,
40.0,5.344436,INVALID,,,,,
42.5,5.332213,INVALID,,,,,
45.0,5.319991,INVALID,,,,,
47.5,5.307769,INVALID,,,,,
50.0,5.307769,INVALID,,,,,
52.5,5.307769,INVALID,,,,,
55.0,5.295547,INVALID,,,,,
57.5,5.283325,INVALID,,,,,
60.0,5.283325,INVALID,,,,,
62.5,5.283325,-0.085968,,,,,
65.0,5.283325,-0.094768,,,,,
67.5,5.271103,-0.102214,,,,,
70.0,5.271103,-0.108080,,,,,
72.5,5.271103,-0.109208,,,,,
75.0,5.271103,-0.111239,,,,,
77.5,5.271103,-0.111465,,,,,
80.0,5.258881,-0.109885,,,,,
82.5,5.258881,-0.109208,,,,,
85.0,5.258881,-0.109434,,,,,
87.5,5.258881,-0.107855,,,,,
90.0,5.258881,-0.104470,,,,,
92.5,5.246659,-0.099280,,,,,
95.0,5.246659,-0.094993,,,,,
97.5,5.246659,-0.091609,,,,,
100.0,5.246659,-0.089352,,,,,
102.5,5.246659,-0.085517,,,,,
105.0,5.222215,-0.077168,,,,,
107.5,5.222215,-0.075363,,,,,
110.0,5.234437,-0.074460,,,,,
112.5,5.234437,-0.071978,,,,,
115.0,5.209993,-0.068142,,,,,
117.5,5.197771,-0.068368,,,,,
120.0,5.209993,-0.072430,,,,,
122.5,5.209993,-0.074912,,,,,
125.0,5.197771,-0.076040,,,,,
127.5,5.185549,-0.078522,,,,,
130.0,5.185549,-0.082132,,,,,
132.5,5.185549,-0.086870,,,,,
135.0,5.185549,-0.090029,,,,,
137.5,5.173327,-0.091609,,,,,
140.0,5.161105,-0.094316,,,,,
142.5,5.173327,-0.097927,,,,,
145.0,5.173327,-0.099732,,,,,
147.5,5.173327,-0.099957,,,,,
150.0,5.161105,-0.098603,,,,,
152.5,5.161105,-0.098378,,,,,
155.0,5.173327,-0.096347,,,,,
157.5,5.148883,-0.092737,,,,,
160.0,5.148883,-0.093188,,,,,
162.5,5.161105,-0.091834,,,,,
165.0,5.148883,-0.085968,,,,,
167.5,5.148883,-0.081229,,,,,
170.0,5.136661,-0.080553,,,,,
172.5,5.136661,-0.081229,,,,,
175.0,5.136661,-0.077394,,,,,
177.5,5.124439,-0.071753,,,,,
180.0,5.112217,-0.072881,,,,,
