HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 03:21
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.649986,INVALID,Start,All,Restart,Started at:03:21:36,
2.5,5.649986,INVALID,,,,,
5.0,5.649986,INVALID,,,,,
7.5,5.662208,INVALID,,,,,
10.0,5.674430,INVALID,,,,,
12.5,5.674430,INVALID,,,,,
15.0,5.674430,INVALID,,,,,
17.5,5.674430,INVALID,,,,,
20.0,5.686652,INVALID,,,,,
22.5,5.686652,INVALID,,,,,
25.0,5.649986,INVALID,,,,,
27.5,5.674430,INVALID,,,,,
30.0,5.686652,INVALID,,,,,
32.5,5.686652,INVALID,,,,,
35.0,5.686652,INVALID,,,,,
37.5,5.698874,INVALID,,,,,
40.0,5.698874,INVALID,,,,,
42.5,5.686652,INVALID,,,,,
45.0,5.698874,INVALID,,,,,
47.5,5.698874,INVALID,,,,,
50.0,5.698874,INVALID,,,,,
52.5,5.686652,INVALID,,,,,
55.0,5.686652,INVALID,,,,,
57.5,5.698874,INVALID,,,,,
60.0,5.698874,INVALID,,,,,
62.5,5.686652,0.045353,,,,,
65.0,5.698874,0.039261,,,,,
67.5,5.698874,0.035199,,,,,
70.0,5.686652,0.030235,,,,,
72.5,5.698874,0.024594,,,,,
75.0,5.698874,0.024143,,,,,
77.5,5.686652,0.023241,,,,,
80.0,5.686652,0.019179,,,,,
82.5,5.698874,0.014892,,,,,
85.0,5.711096,0.016020,,,,,
87.5,5.698874,0.019630,,,,,
90.0,5.698874,0.011282,,,,,
92.5,5.711096,0.007897,,,,,
95.0,5.711096,0.009702,,,,,
97.5,5.711096,0.011056,,,,,
100.0,5.711096,0.011959,,,,,
102.5,5.723318,0.015343,,,,,
105.0,5.711096,0.021210,,,,,
107.5,5.711096,0.020984,,,,,
110.0,5.723318,0.023241,,,,,
112.5,5.723318,0.027979,,,,,
115.0,5.711096,0.032266,,,,,
117.5,5.723318,0.030461,,,,,
120.0,5.723318,0.030912,,,,,
122.5,5.711096,0.033620,,,,,
125.0,5.711096,0.033169,,,,,
127.5,5.711096,0.029558,,,,,
130.0,5.711096,0.028430,,,,,
132.5,5.711096,0.027076,,,,,
135.0,5.723318,0.022564,,,,,
137.5,5.711096,0.023241,,,,,
140.0,5.698874,0.020759,,,,,
142.5,5.698874,0.012410,,,,,
145.0,5.698874,0.003836,,,,,
147.5,5.698874,-0.002031,,,,,
150.0,5.698874,-0.004964,,,,,
152.5,5.711096,-0.010605,,,,,
155.0,5.698874,-0.013538,,,,,
157.5,5.698874,-0.016472,,,,,
160.0,5.711096,-0.019179,,,,,
162.5,5.711096,-0.018954,,,,,
165.0,5.711096,-0.018728,,,,,
167.5,5.711096,-0.015569,,,,,
170.0,5.698874,-0.015118,,,,,
172.5,5.698874,-0.017374,,,,,
175.0,5.711096,-0.016472,,,,,
177.5,5.711096,-0.012410,,,,,
180.0,5.698874,-0.011056,,,,,
182.5,5.698874,-0.009477,,,,,
185.0,5.711096,-0.007446,,,,,
187.5,5.698874,-0.005190,,,,,
190.0,5.698874,-0.005641,,,,,
192.5,5.698874,-0.005867,,,,,
195.0,5.686652,-0.005867,,,,,
197.5,5.686652,-0.008349,,,,,
200.0,5.686652,-0.007446,,,,,
202.5,5.686652,-0.008800,,,,,
205.0,5.674430,-0.012636,,,,,
207.5,5.686652,-0.018954,,,,,
210.0,5.674430,-0.022112,,,,,
212.5,5.674430,-0.027753,,,,,
215.0,5.674430,-0.032943,,,,,
217.5,5.674430,-0.034748,,,,,
220.0,5.674430,-0.038810,,,,,
222.5,5.674430,-0.042420,,,,,
225.0,5.674430,-0.042645,,,,,
227.5,5.674430,-0.042194,,,,,
230.0,5.662208,-0.041066,,,,,
232.5,5.674430,-0.041969,,,,,
235.0,5.674430,-0.042194,,,,,
237.5,5.674430,-0.041969,,,,,
240.0,5.662208,-0.038358,,,,,
242.5,5.686652,-0.036779,,,,,
245.0,5.674430,-0.031815,,,,,
247.5,5.662208,-0.029333,,,,,
250.0,5.662208,-0.026174,,,,,
252.5,5.674430,-0.025046,,,,,
255.0,5.662208,-0.020533,,,,,
257.5,5.662208,-0.018277,,,,,
260.0,5.674430,-0.018277,,,,,
262.5,5.662208,-0.015118,,,,,
265.0,5.649986,-0.014441,,,,,
267.5,5.649986,-0.016020,,,,,
270.0,5.662208,-0.019856,,,,,
272.5,5.649986,-0.017600,,,,,
275.0,5.649986,-0.020533,,,,,
277.5,5.637764,-0.023015,,,,,
280.0,5.649986,-0.027753,,,,,
282.5,5.649986,-0.029107,,,,,
285.0,5.637764,-0.030010,,,,,
287.5,5.637764,-0.033169,,,,,
290.0,5.649986,-0.035651,,,,,
292.5,5.649986,-0.034748,,,,,
295.0,5.637764,-0.036328,,,,,
297.5,5.637764,-0.037456,,,,,
300.0,5.637764,-0.037907,,,,,
302.5,5.649986,-0.037681,,,,,
305.0,5.637764,-0.037005,,,,,
307.5,5.637764,-0.032943,,,,,
310.0,5.637764,-0.030912,,,,,
312.5,5.637764,-0.031138,,,,,
315.0,5.637764,-0.030912,,,,,
317.5,5.637764,-0.027302,,,,,
320.0,5.625542,-0.025948,,,,,
322.5,5.637764,-0.026851,,,,,
325.0,5.637764,-0.021436,,,,,
327.5,5.625542,-0.018277,,,,,
330.0,5.625542,-0.020307,,,,,
332.5,5.625542,-0.021887,,,,,
335.0,5.625542,-0.020082,,,,,
337.5,5.625542,-0.020533,,,,,
340.0,5.613320,-0.020533,,,,,
342.5,5.601098,-0.025723,,,,,
345.0,5.613320,-0.030235,,,,,
347.5,5.613320,-0.031138,,,,,
350.0,5.613320,-0.034297,,,,,
352.5,5.601098,-0.037005,,,,,
355.0,5.601098,-0.039035,,,,,
357.5,5.613320,-0.040163,,,,,
360.0,5.601098,-0.040615,,,,,
362.5,5.588876,-0.043322,,,,,
365.0,5.601098,-0.048061,,,,,
367.5,5.601098,-0.046256,,,,,
370.0,5.588876,-0.046481,,,,,
372.5,5.576654,-0.048738,,,,,
375.0,5.588876,-0.052799,,,,,
377.5,5.588876,-0.053025,,,,,
380.0,5.576654,-0.052348,,,,,
382.5,5.576654,-0.053476,,,,,
385.0,5.576654,-0.056409,,,,,
387.5,5.588876,-0.055507,,,,,
390.0,5.588876,-0.050768,,,,,
392.5,5.576654,-0.048061,,,,,
395.0,5.588876,-0.047384,,,,,
397.5,5.588876,-0.043097,,,,,
400.0,5.576654,-0.038133,,,,,
402.5,5.576654,-0.035199,,,,,
405.0,5.588876,-0.034297,,,,,
407.5,5.588876,-0.032943,,,,,
410.0,5.576654,-0.028430,,,,,
412.5,5.576654,-0.026174,,,,,
415.0,5.588876,-0.023241,,,,,
417.5,5.576654,-0.019856,,,,,
420.0,5.576654,-0.018954,,,,,
422.5,5.564432,-0.014666,,,,,
425.0,5.576654,-0.015343,,,,,
427.5,5.588876,-0.015569,,,,,
430.0,5.576654,-0.009928,,,,,
432.5,5.564432,-0.006769,,,,,
435.0,5.576654,-0.008800,,,,,
437.5,5.576654,-0.010605,,,,,
440.0,5.564432,-0.009477,,,,,
442.5,5.552210,-0.010831,,,,,
445.0,5.552210,-0.017374,,,,,
447.5,5.564432,-0.023466,,,,,
450.0,5.564432,-0.026400,,,,,
452.5,5.552210,-0.026174,,,,,
455.0,5.552210,-0.028205,,,,,
457.5,5.552210,-0.032492,,,,,
460.0,5.564432,-0.033394,,,,,
462.5,5.552210,-0.030912,,,,,
465.0,5.539988,-0.033620,,,,,
467.5,5.539988,-0.038584,,,,,
470.0,5.539988,-0.039938,,,,,
472.5,5.539988,-0.040389,,,,,
475.0,5.527766,-0.042871,,,,,
477.5,5.539988,-0.047384,,,,,
480.0,5.539988,-0.045353,,,,,
482.5,5.539988,-0.045353,,,,,
485.0,5.539988,-0.044676,,,,,
487.5,5.539988,-0.046256,,,,,
490.0,5.539988,-0.044451,,,,,
492.5,5.539988,-0.039035,,,,,
495.0,5.552210,-0.035651,,,,,
497.5,5.539988,-0.031815,,,,,
500.0,5.527766,-0.027528,,,,,
502.5,5.552210,-0.025271,,,,,
505.0,5.552210,-0.019630,,,,,
507.5,5.539988,-0.016697,,,,,
510.0,5.539988,-0.016472,,,,,
512.5,5.539988,-0.013087,,,,,
515.0,5.552210,-0.009251,,,,,
517.5,5.552210,-0.005190,,,,,
520.0,5.539988,-0.001128,,,,,
522.5,5.527766,0.000226,,,,,
525.0,5.515544,0.002031,,,,,
527.5,5.527766,-0.001128,,,,,
530.0,5.527766,-0.003836,,,,,
532.5,5.515544,-0.006318,,,,,
535.0,5.515544,-0.011282,,,,,
537.5,5.515544,-0.015795,,,,,
540.0,5.515544,-0.022789,,,,,
542.5,5.515544,-0.026625,,,,,
545.0,5.515544,-0.030010,,,,,
547.5,5.503322,-0.032943,,,,,
550.0,5.503322,-0.038133,,,,,
552.5,5.515544,-0.042645,,,,,
555.0,5.515544,-0.043774,,,,,
557.5,5.503322,-0.044451,,,,,
560.0,5.503322,-0.044451,,,,,
562.5,5.503322,-0.046481,,,,,
565.0,5.515544,-0.050768,,,,,
567.5,5.503322,-0.046030,,,,,
570.0,5.503322,-0.043322,,,,,
572.5,5.503322,-0.042645,,,,,
575.0,5.515544,-0.041292,,,,,
577.5,5.503322,-0.036553,,,,,
580.0,5.503322,-0.031138,,,,,
582.5,5.503322,-0.024820,,,,,
585.0,5.515544,-0.020533,,,,,
587.5,5.515544,-0.015795,,,,,
590.0,5.503322,-0.013764,,,,,
592.5,5.503322,-0.011508,,,,,
595.0,5.503322,-0.008800,,,,,
597.5,5.515544,-0.008574,,,,,
600.0,5.503322,-0.005415,,,,,
602.5,5.491100,-0.004964,,,,,
605.0,5.491100,-0.006995,,,,,
607.5,5.491100,-0.008574,,,,,
610.0,5.491100,-0.009702,,,,,
612.5,5.491100,-0.013313,,,,,
615.0,5.478878,-0.016697,,,,,
617.5,5.491100,-0.019630,,,,,
620.0,5.491100,-0.019179,,,,,
622.5,5.478878,-0.021210,,,,,
625.0,5.478878,-0.025723,,,,,
627.5,5.478878,-0.029784,,,,,
630.0,5.478878,-0.030461,,,,,
632.5,5.478878,-0.033394,,,,,
635.0,5.466656,-0.035876,,,,,
637.5,5.466656,-0.040615,,,,,
640.0,5.478878,-0.041743,,,,,
642.5,5.466656,-0.042194,,,,,
645.0,5.466656,-0.046933,,,,,
647.5,5.466656,-0.045353,Stop,All,Stop,Stopped at:03:32:25,

End Of File
Checksum, -1541415222
