HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.06
File Version: 1.05L

RECORDING DESCRIPTION
Date: 28/04/16
Start Time: 03:37
Sample Time(sec),2.500000
Live Rate Over(sec) ,60

GAIN & BACKOFF SETTINGS
Channel No,1,
Gain,1.00,
Back Off,0,

CALIBRATION DATA
Calibration Type,Gas
Channel No,1,
Calibration Offset,1.168604,
Calibration Factor, 15.088912,


TEMPERATURE DATA
Channel No,1,
Set Temperature, 25.00,


PFD DATA
PFD Light Calibrated  1 = NO
PFD Light Calibrated  2 = NO
PFD Mode ,OFF
QY Rate Over ,5
QY Roof Start ,2
QY Roof Over ,2
QY Ceiling Max ,TRUE
PFD Steps 1,1
PFD Step Time 1 (00),1
PFD Step Level 1 (00),50
PFD Step Prompt 1 (00),

RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,5.295547,INVALID,Start,All,Restart,Started at:03:37:21,
2.5,5.295547,INVALID,,,,,
5.0,5.295547,INVALID,,,,,
7.5,5.295547,INVALID,,,,,
10.0,5.307769,INVALID,,,,,
12.5,5.295547,INVALID,,,,,
15.0,5.295547,INVALID,,,,,
17.5,5.295547,INVALID,,,,,
20.0,5.307769,INVALID,,,,,
22.5,5.295547,INVALID,,,,,
25.0,5.295547,INVALID,,,,,
27.5,5.307769,INVALID,,,,,
30.0,5.295547,INVALID,,,,,
32.5,5.295547,INVALID,,,,,
35.0,5.295547,INVALID,,,,,
37.5,5.307769,INVALID,,,,,
40.0,5.307769,INVALID,,,,,
42.5,5.295547,INVALID,,,,,
45.0,5.307769,INVALID,,,,,
47.5,5.307769,INVALID,,,,,
50.0,5.295547,INVALID,,,,,
52.5,5.307769,INVALID,,,,,
55.0,5.319991,INVALID,,,,,
57.5,5.319991,INVALID,,,,,
60.0,5.307769,INVALID,,,,,
62.5,5.307769,0.015795,,,,,
65.0,5.319991,0.015569,,,,,
67.5,5.307769,0.017825,,,,,
70.0,5.307769,0.016923,,,,,
72.5,5.319991,0.015795,,,,,
75.0,5.307769,0.020082,,,,,
77.5,5.307769,0.018502,,,,,
80.0,5.307769,0.016697,,,,,
82.5,5.307769,0.014666,,,,,
85.0,5.307769,0.015343,,,,,
87.5,5.307769,0.013087,,,,,
90.0,5.319991,0.010605,,,,,
92.5,5.307769,0.013538,,,,,
95.0,5.295547,0.010605,,,,,
97.5,5.307769,0.004738,,,,,
100.0,5.307769,0.001579,,,,,
102.5,5.307769,0.001128,,,,,
105.0,5.295547,0.000677,,,,,
107.5,5.307769,-0.005415,,,,,
110.0,5.307769,-0.005867,,,,,
112.5,5.295547,-0.006318,,,,,
115.0,5.295547,-0.012410,,,,,
117.5,5.307769,-0.015569,,,,,
120.0,5.307769,-0.012861,,,,,
122.5,5.295547,-0.009928,,,,,
125.0,5.307769,-0.012410,,,,,
127.5,5.307769,-0.011959,,,,,
130.0,5.307769,-0.008574,,,,,
132.5,5.295547,-0.007897,,,,,
135.0,5.307769,-0.009928,,,,,
137.5,5.319991,-0.006092,,,,,
140.0,5.319991,-0.002256,,,,,
142.5,5.307769,0.001354,,,,,
145.0,5.307769,0.002031,,,,,
147.5,5.307769,0.002708,,,,,
150.0,5.307769,0.003385,,,,,
152.5,5.307769,0.004061,,,,,
155.0,5.307769,0.007672,,,,,
157.5,5.307769,0.008574,,,,,
160.0,5.295547,0.006543,,,,,
162.5,5.295547,0.004513,,,,,
165.0,5.307769,0.002708,,,,,
167.5,5.295547,0.003836,,,,,
170.0,5.295547,-0.000677,,,,,
172.5,5.295547,-0.002256,,,,,
175.0,5.295547,-0.003610,,,,,
177.5,5.283325,-0.007672,,,,,
180.0,5.283325,-0.014441,,,,,
182.5,5.295547,-0.018051,,,,,
185.0,5.283325,-0.018502,,,,,
187.5,5.283325,-0.024369,,,,,
190.0,5.295547,-0.027076,,,,,
192.5,5.295547,-0.026625,,,,,
195.0,5.283325,-0.025948,,,,,
197.5,5.295547,-0.030687,,,,,
200.0,5.295547,-0.029558,,,,,
202.5,5.295547,-0.025271,,,,,
205.0,5.283325,-0.020533,,,,,
207.5,5.295547,-0.020984,,,,,
210.0,5.295547,-0.018277,,,,,
212.5,5.283325,-0.015343,,,,,
215.0,5.271103,-0.014892,,,,,
217.5,5.283325,-0.016697,,,,,
220.0,5.295547,-0.015118,,,,,
222.5,5.283325,-0.010379,,,,,
225.0,5.271103,-0.011056,,,,,
227.5,5.295547,-0.014215,,,,,
230.0,5.283325,-0.008574,,,,,
232.5,5.271103,-0.008349,,,,,
235.0,5.283325,-0.010605,,,,,
237.5,5.283325,-0.009702,,,,,
240.0,5.271103,-0.008574,,,,,
242.5,5.271103,-0.012861,,,,,
245.0,5.271103,-0.016923,,,,,
247.5,5.283325,-0.017825,,,,,
250.0,5.271103,-0.018502,,,,,
252.5,5.271103,-0.021887,,,,,
255.0,5.283325,-0.022112,,,,,
257.5,5.271103,-0.019179,,,,,
260.0,5.271103,-0.021661,,,,,
262.5,5.271103,-0.020984,,,,,
265.0,5.283325,-0.019856,,,,,
267.5,5.271103,-0.015569,,,,,
270.0,5.271103,-0.016697,,,,,
272.5,5.271103,-0.014666,,,,,
275.0,5.271103,-0.012184,,,,,
277.5,5.271103,-0.012184,,,,,
280.0,5.271103,-0.014892,,,,,
282.5,5.271103,-0.014666,,,,,
285.0,5.258881,-0.011282,,,,,
287.5,5.258881,-0.013087,,,,,
290.0,5.271103,-0.017374,,,,,
292.5,5.271103,-0.012861,,,,,
295.0,5.258881,-0.010831,,,,,
297.5,5.258881,-0.014215,,,,,
300.0,5.258881,-0.014441,,,,,
302.5,5.258881,-0.014215,,,,,
305.0,5.258881,-0.016472,,,,,
307.5,5.258881,-0.018502,,,,,
310.0,5.258881,-0.020307,,,,,
312.5,5.246659,-0.018954,,,,,
315.0,5.246659,-0.022789,,,,,
317.5,5.246659,-0.026174,,,,,
320.0,5.258881,-0.026174,,,,,
322.5,5.246659,-0.025723,,,,,
325.0,5.246659,-0.027753,,,,,
327.5,5.246659,-0.029333,,,,,
330.0,5.246659,-0.027528,,,,,
332.5,5.258881,-0.027979,,,,,
335.0,5.234437,-0.025271,,,,,
337.5,5.246659,-0.027753,,,,,
340.0,5.246659,-0.026851,,,,,
342.5,5.246659,-0.025497,,,,,
345.0,5.246659,-0.023692,,,,,
347.5,5.246659,-0.021436,,,,,
350.0,5.246659,-0.021661,,,,,
352.5,5.246659,-0.021661,,,,,
355.0,5.246659,-0.018502,,,,,
357.5,5.246659,-0.014892,,,,,
360.0,5.258881,-0.013764,,,,,
362.5,5.246659,-0.009702,,,,,
365.0,5.246659,-0.008349,,,,,
367.5,5.234437,-0.006769,,,,,
370.0,5.246659,-0.007672,,,,,
372.5,5.246659,-0.005415,,,,,
375.0,5.246659,-0.002933,,,,,
377.5,5.234437,-0.003159,,,,,
380.0,5.234437,-0.006092,,,,,
382.5,5.246659,-0.008800,,,,,
385.0,5.246659,-0.005641,,,,,
387.5,5.222215,-0.005190,,,,,
390.0,5.234437,-0.010154,,,,,
392.5,5.234437,-0.011959,,,,,
395.0,5.234437,-0.013538,,,,,
397.5,5.222215,-0.011959,,,,,
400.0,5.222215,-0.018502,,,,,
402.5,5.234437,-0.021887,,,,,
405.0,5.222215,-0.022112,,,,,
407.5,5.222215,-0.024820,,,,,
410.0,5.222215,-0.027076,,,,,
412.5,5.222215,-0.028882,,,,,
415.0,5.222215,-0.030235,,,,,
417.5,5.222215,-0.031138,,,,,
420.0,5.209993,-0.031589,,,,,
422.5,5.222215,-0.034297,,,,,
425.0,5.222215,-0.030687,,,,,
427.5,5.222215,-0.029333,,,,,
430.0,5.209993,-0.027528,,,,,
432.5,5.222215,-0.030912,,,,,
435.0,5.222215,-0.028205,,,,,
437.5,5.222215,-0.025046,,,,,
440.0,5.222215,-0.021436,,,,,
442.5,5.222215,-0.020307,,,,,
445.0,5.222215,-0.018954,,,,,
447.5,5.222215,-0.014441,,,,,
450.0,5.222215,-0.009477,,,,,
452.5,5.209993,-0.009928,,,,,
455.0,5.209993,-0.010154,,,,,
457.5,5.222215,-0.009928,,,,,
460.0,5.222215,-0.006543,,,,,
462.5,5.209993,-0.005867,,,,,
465.0,5.209993,-0.007897,,,,,
467.5,5.209993,-0.006769,,,,,
470.0,5.222215,-0.008123,,,,,
472.5,5.197771,-0.006543,,,,,
475.0,5.197771,-0.010379,,,,,
477.5,5.197771,-0.013764,,,,,
480.0,5.209993,-0.016697,,,,,
482.5,5.197771,-0.016472,,,,,
485.0,5.197771,-0.021661,,,,,
487.5,5.197771,-0.023692,,,,,
490.0,5.197771,-0.025271,,,,,
492.5,5.197771,-0.026400,,,,,
495.0,5.185549,-0.030010,,,,,
497.5,5.197771,-0.033169,,,,,
500.0,5.197771,-0.032943,,,,,
502.5,5.197771,-0.032266,,,,,
505.0,5.185549,-0.031138,,,,,
507.5,5.185549,-0.032266,,,,,
510.0,5.197771,-0.032717,,,,,
512.5,5.197771,-0.029784,,,,,
515.0,5.197771,-0.026400,,,,,
517.5,5.185549,-0.025497,,,,,
520.0,5.197771,-0.027076,,,,,
522.5,5.197771,-0.022564,,,,,
525.0,5.197771,-0.017600,,,,,
527.5,5.185549,-0.015118,,,,,
530.0,5.185549,-0.015118,,,,,
532.5,5.197771,-0.014666,,,,,
535.0,5.185549,-0.008123,,,,,
537.5,5.185549,-0.009702,,,,,
540.0,5.173327,-0.011056,,,,,
542.5,5.185549,-0.014892,,,,,
545.0,5.185549,-0.012636,,,,,
547.5,5.173327,-0.012861,,,,,
550.0,5.173327,-0.015569,,,,,
552.5,5.185549,-0.017825,,,,,
555.0,5.185549,-0.016923,,,,,
557.5,5.173327,-0.015795,,,,,
560.0,5.173327,-0.020082,,,,,
562.5,5.185549,-0.021210,,,,,
565.0,5.173327,-0.019179,,,,,
567.5,5.161105,-0.019630,,,,,
570.0,5.173327,-0.025271,,,,,
572.5,5.173327,-0.027753,,,,,
575.0,5.161105,-0.027076,,,,,
577.5,5.161105,-0.028656,,,,,
580.0,5.173327,-0.029558,,,,,
582.5,5.173327,-0.030010,,,,,
585.0,5.173327,-0.027302,,,,,
587.5,5.173327,-0.024143,,,,,
590.0,5.173327,-0.020533,,,,,
592.5,5.185549,-0.019405,,,,,
595.0,5.161105,-0.015343,,,,,
597.5,5.173327,-0.013764,,,,,
600.0,5.173327,-0.011733,,,,,
602.5,5.173327,-0.009477,,,,,
605.0,5.173327,-0.009928,,,,,
607.5,5.161105,-0.007446,,,,,
610.0,5.173327,-0.007446,,,,,
612.5,5.173327,-0.007220,,,,,
615.0,5.161105,-0.006995,,,,,
617.5,5.161105,-0.006543,,,,,
620.0,5.161105,-0.005641,,,,,
622.5,5.161105,-0.007220,,,,,
625.0,5.148883,-0.008574,,,,,
627.5,5.161105,-0.009477,,,,,
630.0,5.161105,-0.013087,,,,,
632.5,5.161105,-0.013313,,,,,
635.0,5.148883,-0.016020,Stop,All,Stop,Stopped at:03:47:56,

End Of File
Checksum, 1929371342
