OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue May  3 2016 10:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,Sun+Sky,1,0.189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/sun+sky.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,plant c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:56:05 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:56:13 Launched AutoProg /User/Configs/AutoProgs/AutoLog""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:56:16 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:56:16 Coolers: Tblock -> 26.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:56:16 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:56:25,88.00000112,0,6.68434669,0.061797913,208.7872542,0.87999663,1.394877638,24.98022079,6,1.420000017,1,2.840000033,26.33791542,24.98022079,26.16340256,400.4818726,392.0473022,17.07291985,18.1097126,48.77772903,51.73987198,500.0382996,264.4856567,329.835907,98.34790802,-12.20593834,1.160438776,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833397166,0.000879997,298.1302208,299.4879154,50.25227415,0.320516017,3.175929988,32.29280675,14.18309414,25.65906811,3.30678269,0.060481838,1.781052349,1.525730341,0.037917227,20.53378967,0.532556283,55.90377529,388.869884,0.009609389
2,11:06:16,679.9999879,0,6.739184903,0.055574006,186.6590272,0.878791848,1.544698345,25.74292755,6,1.420000017,1,2.840000033,26.33507347,25.74292755,26.16111374,399.8672485,391.368866,17.04668617,18.08200264,48.71763611,51.67646027,500.0798645,264.1677856,330.6599731,98.36140442,-12.20593834,1.160438776,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833466441,0.000878792,298.8929276,299.4850735,50.19187864,0.216238486,3.323269519,33.78631627,15.70431363,26.03900051,3.382053366,0.054507388,1.778571174,1.603482192,0.034161367,18.36004406,0.476938876,53.1970234,388.1653802,0.009235872
Remark=,"""11:11:34 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11:16:16,1279.999995,0,6.668523154,0.056543695,191.6549551,0.913693182,1.57859975,25.93453026,6,1.420000017,1,2.840000033,26.33415985,25.93453026,26.15878868,399.6629333,391.232605,17.04756737,18.12401772,48.72018433,51.79656982,500.0509644,264.74646,331.4035645,98.3561554,-12.15518761,1.193634272,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833418274,0.000913693,299.0845303,299.4841599,50.30182676,0.173035603,3.361208453,34.17384951,16.04983179,26.13434505,3.401175881,0.055439901,1.782608703,1.618567178,0.034747445,18.85044455,0.4898747,52.71511967,388.0627084,0.009058639
